FIPS,AMT
?????,1.99
36001,34194105.92
36003,14755
36005,136878.04
36007,74030.03
36009,11632.66
36011,1566903.5
36013,158652.73
36015,88496.88
36017,1852.5
36019,19200
36021,21506.97
36025,1125
36027,411718.7
36029,1328323.55
36031,13075
36033,69140
36035,2492.77
36037,2000
36039,5495
36041,750
36043,17625
36045,99447.74
36047,3064429.75
36051,16921.93
36053,11598
36055,1537337.37
36057,225
36059,10462080.66
36061,34194105.92
36063,29216.31
36065,6000
36067,286007.35
36069,53355.47
36071,167394.76
36073,23300
36075,16300
36077,9540.32
36079,8370.16
36081,1580680.24
36083,352486.97
36085,182045.8
36087,96028.18
36089,32265.28
36091,94919.42
36093,16615
36095,2000
36097,1050
36099,14900
36101,2000
36103,12240183.21
36105,19162.92
36107,14014.71
36109,58642.9
36111,107676.24
36113,8650
36117,122822.42
36119,19622885.34
36121,11890
36123,133300
